Country,ISO3,Region,CPI score 2017,CPI score 2016,CPI score 2015,CPI score 2014,CPI Score 2013,CPI Score 2012
New Zealand,NZL,AP,89,90,91,91,91,90
Denmark,DNK,WE/EU,88,90,91,92,91,90
Finland,FIN,WE/EU,85,89,90,89,89,90
Norway,NOR,WE/EU,85,85,88,86,86,85
Switzerland,CHE,WE/EU,85,86,86,86,85,86
Singapore,SGP,AP,84,84,85,84,86,87
Sweden,SWE,WE/EU,84,88,89,87,89,88
Canada,CAN,AME,82,82,83,81,81,84
Luxembourg,LUX,WE/EU,82,81,85,82,80,80
Netherlands,NLD,WE/EU,82,83,84,83,83,84
United Kingdom,GBR,WE/EU,82,81,81,78,76,74
Germany,DEU,WE/EU,81,81,81,79,78,79
Australia,AUS,AP,77,79,79,80,81,85
Hong Kong,HKG,AP,77,77,75,74,75,77
Iceland,ISL,WE/EU,77,78,79,79,78,82
Austria,AUT,WE/EU,75,75,76,72,69,69
Belgium,BEL,WE/EU,75,77,77,76,75,75
United States of America,USA,AME,75,74,76,74,73,73
Ireland,IRL,WE/EU,74,73,75,74,72,69
Japan,JPN,AP,73,72,75,76,74,74
Estonia,EST,WE/EU,71,70,70,69,68,64
United Arab Emirates,ARE,MENA,71,66,70,70,69,68
France,FRA,WE/EU,70,69,70,69,71,71
Uruguay,URY,AME,70,71,74,73,73,72
Barbados,BRB,AME,68,61,,74,75,76
Bhutan,BTN,AP,67,65,65,65,63,63
Chile,CHL,AME,67,66,70,73,71,72
Bahamas,BHS,AME,65,66,,71,71,71
Portugal,PRT,WE/EU,63,62,64,63,62,63
Qatar,QAT,MENA,63,61,71,69,68,68
Taiwan,TWN,AP,63,61,62,61,61,61
Brunei Darussalam,BRN,AP,62,58,,,60,55
Israel,ISR,MENA,62,64,61,60,61,60
Botswana,BWA,SSA,61,60,63,63,64,65
Slovenia,SVN,WE/EU,61,61,60,58,57,61
Poland,POL,WE/EU,60,62,63,61,60,58
Seychelles,SYC,SSA,60,,55,55,54,52
Costa Rica,CRI,AME,59,58,55,54,53,54
Lithuania,LTU,WE/EU,59,59,59,58,57,54
Latvia,LVA,WE/EU,58,57,56,55,53,49
Saint Vincent and the Grenadines,VCT,AME,58,60,,62,62,62
Cyprus,CYP,WE/EU,57,55,61,63,63,66
Czech Republic,CZE,WE/EU,57,55,56,51,48,49
Dominica,DMA,AME,57,59,,58,58,58
Spain,ESP,WE/EU,57,58,58,60,59,65
Georgia,GEO,ECA,56,57,52,52,49,52
Malta,MLT,WE/EU,56,55,60,55,56,57
Cabo Verde,CPV,SSA,55,59,55,57,58,60
Rwanda,RWA,SSA,55,54,54,49,53,53
Saint Lucia,LCA,AME,55,60,,71,71,71
"Korea, South",KOR,AP,54,53,54,55,55,56
Grenada,GRD,AME,52,56,,,,
Namibia,NAM,SSA,51,52,53,49,48,48
Italy,ITA,WE/EU,50,47,44,43,43,42
Mauritius,MUS,SSA,50,54,53,54,52,57
Slovakia,SVK,WE/EU,50,51,51,50,47,46
Croatia,HRV,WE/EU,49,49,51,48,48,46
Saudi Arabia,SAU,MENA,49,46,52,49,46,44
